,PlanetName,HostName,PlanetLetter,NumberOfStars,NumberOfPlanets,NumberOfMoons,DiscoveryYear,OrbitalPeriod,OrbitSemiMajorAxis,PlanetEarthRadius,PlanetJupiterRadius,PlanetEarthMass,PlanetJupiterMass,PlanetProvenance,PlanetDensity,PlanetEquilibriumTemperature,StellarEffectiveTemperature,StellarRadius,StellarMass,StellarMetallicity,StellarMetallicityRatio,StellarLuminosity,StellarSurfaceGravity,StellarAge,StellarDensity,RA[sexagesimal],RA[deg],Dec[sexagesimal],Dec[deg],GalacticLatitude,GalacticLongitude,EclipticLatitude,EclipticLongitude,TotalProperMotion,ProperMotion(RA),ProperMotion(Dec),Distance,Parallax
2712,Kepler-971 b,Kepler-971,b,1,1,0,2016,9.59070716,0.0827,2.13,0.19,5.18,0.0163,M-R relationship,2.95,1087.0,5431.0,0.85,0.88,-0.06,[Fe/H],-0.299,4.54,4.47,1.72343,18h56m22.70s,284.0945699,+41d10m58.13s,41.1828131,16.60734,71.19357,63.44275,294.20075,3.5598258,-1.84499,3.0444,338.522,2.92682
2713,Kepler-972 b,Kepler-972,b,1,1,0,2016,7.03932553,0.0734,4.65,0.415,19.5,0.0614,M-R relationship,1.07,1060.0,6146.0,1.22,1.15,0.04,[Fe/H],0.191,4.33,2.82,0.08845,19h43m18.88s,295.828679,+43d25m31.57s,43.4254371,9.6939,77.04273,62.9638,314.11631,7.1622203,-1.9446,-6.89318,1198.03,0.806644
2714,Kepler-973 b,Kepler-973,b,1,1,0,2016,49.6077331,0.2508,1.96,0.175,4.5,0.0142,M-R relationship,3.28,402.0,5213.0,0.78,0.86,-0.06,[Fe/H],-0.344,4.58,2.29,2.18901,19h20m39.68s,290.1653203,+49d55m25.73s,49.9238126,16.02462,81.29598,70.46552,311.58615,16.0675072,5.41903,-15.1261,328.52,3.01592
2715,Kepler-974 b,Kepler-974,b,1,1,0,2016,4.19449651,0.0419,1.57,0.14,3.09,0.00972,M-R relationship,4.39,577.0,3687.0,0.5,0.52,0.07,[Fe/H],-1.354,4.76,4.37,4.8384,19h00m03.15s,285.0131082,+40d13m15.44s,40.2209547,15.59932,70.54028,62.35155,295.22891,41.1922884,0.690538,41.1865,134.311,7.41656
2716,Kepler-975 b,Kepler-975,b,1,1,0,2016,1.97034246,0.0303,1.48,0.132,2.79,0.00879,M-R relationship,4.73,1599.0,4897.0,0.75,0.8,0.07,[Fe/H],-0.512,4.59,3.89,2.55402,19h22m11.64s,290.54851,+38d29m42.87s,38.4952415,10.98955,70.73595,59.61007,302.89078,8.9710013,-3.72338,-8.16182,426.088,2.3182
2717,Kepler-976 b,Kepler-976,b,1,1,0,2016,105.9564148,0.4217,3.96,0.353,14.9,0.0467,M-R relationship,1.32,324.0,5232.0,0.83,0.87,0.07,[Fe/H],-0.36,4.55,4.68,2.54944,19h19m28.71s,289.8696232,+46d43m46.87s,46.7296855,14.9255,78.17734,67.58792,307.66478,8.9546396,-5.97286,-6.67162,1012.41,0.959626
2718,Kepler-977 b,Kepler-977,b,1,1,0,2016,26.85328322,0.162,2.62,0.234,7.37,0.0232,M-R relationship,2.25,544.0,5315.0,0.83,0.87,-0.01,[Fe/H],-0.476,4.55,4.57,2.04472,19h26m03.89s,291.5161959,+42d14m53.06s,42.2480736,11.97106,74.50788,62.9731,306.68865,24.5381936,-3.61063,-24.2711,568.751,1.72957
2719,Kepler-978 b,Kepler-978,b,1,1,0,2016,49.6221509,0.2726,2.99,0.267,9.22,0.029,M-R relationship,1.9,546.0,6002.0,1.09,1.07,-0.01,[Fe/H],0.143,4.38,3.63,0.09556,19h06m50.57s,286.7107166,+43d02m36.09s,43.0433585,15.51824,73.75122,64.77782,299.54768,14.7021286,7.45524,-12.6717,682.522,0.9610059
2720,Kepler-979 b,Kepler-979,b,1,1,0,2016,8.0880135,0.0753,2.72,0.243,7.85,0.0247,M-R relationship,2.14,792.0,5310.0,0.83,0.87,-0.02,[Fe/H],-0.32,4.54,4.57,7.27802,20h01m29.09s,300.3712023,+46d24m29.47s,46.4081872,8.37228,81.27691,64.30827,323.52762,14.9744781,-8.99359,-11.9729,576.503,1.70602
2721,Kepler-98 b,Kepler-98,b,1,1,0,2014,1.54168,0.0256,1.99,0.178,3.55,0.011,Mass,2.18,1592.0,5539.0,1.11,0.99,0.18,[Fe/H],-0.133,4.34,2.79,1.12,19h02m38.81s,285.6616933,+37d57m52.44s,37.9645672,14.25314,68.59512,60.03971,295.22506,17.989011,8.85775,15.6571,350.315,2.82589
