ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
K06318.01,CAND,5.90260586,1.832,337.7,1.26,759,78.58,4960,4.627,0.707,294.87888,38.397812,TBD,N/A
K06320.01,CAND,22.80265,19.34,53.1,2.36,1045,281.59,5011,3.321,3.324,285.64093,38.418732,TBD,N/A
K06449.01,CAND,29.9315174,2.53,353,1.58,517,16.9,5551,4.57,0.809,295.52618,39.806839,TBD,N/A
K06450.01,CAND,0.602277579,2.38,34.6,0.78,2699,12545.82,6510,4.256,1.228,296.32202,39.856049,TBD,N/A
K06454.01,CAND,27.2173855,3.268,155.9,1.34,667,46.8,6263,4.404,1.019,290.31134,39.98069,TBD,N/A
K06568.01,CAND,6.27651592,1.973,166,0.65,532,18.89,3914,4.748,0.515,289.15955,40.51181,TBD,N/A
K06570.01,CAND,16.214474,4.149,161.7,3.53,1256,587.82,6801,3.833,2.637,296.56232,40.590939,TBD,N/A
K06705.01,CAND,0.9951412,5.588,101.7,0.22,509,15.69,3325,5.364,0.109,284.2399,41.819042,TBD,N/A
K06707.01,CAND,43.535891,4.712,576.6,1.86,444,9.19,5481,4.592,0.778,289.70703,41.84354,TBD,N/A
K07888.01,CAND,4.7368156,2.84,35.3,0.6,1137,395.05,6088,4.456,1.011,289.20331,44.505138,TBD,N/A
K06970.01,CAND,40.7698541,2.997,239.8,1.87,585,27.73,5884,4.306,1.21,297.46857,43.98201,TBD,N/A
K06971.01,CAND,129.222771,7.272,445.3,2.01,288,1.63,4934,4.515,0.809,298.70001,43.97649,TBD,N/A
K07106.01,CAND,5.01880305,1.823,98.7,1.08,1178,455.98,6220,4.398,1.083,290.21255,45.134991,TBD,N/A
K07235.01,CAND,299.70688,15.39,230.7,1.15,237,0.75,5606,4.597,0.76,287.02615,46.686291,TBD,N/A
K07236.01,CAND,14.461834,7.156,80.2,1.05,785,89.86,5457,4.239,1.196,294.29364,46.629501,TBD,N/A
K07370.01,CAND,4.48538145,2.297,168.1,0.96,962,202.75,5654,4.607,0.737,298.60785,48.016022,TBD,N/A
K07375.01,CAND,4.84847245,0.874,554.7,1.51,667,46.85,4137,4.625,0.647,297.30438,48.195271,TBD,N/A
K07506.01,CAND,11.8436119,6.044,199.3,1.41,830,111.98,6077,4.471,0.999,293.49564,50.48064,TBD,N/A
K01427.02,CAND,4.88446644,2.057,221,0.84,579,26.5,3883,4.725,0.517,287.85773,48.774109,TBD,N/A
K01574.04,CAND,8.9772888,4.72,97.5,1.79,1113,362.75,5597,3.963,1.699,297.91687,46.96513,TBD,N/A
K01602.02,CAND,3.03359398,4.026,95.6,1.55,1529,1294.06,5557,4.037,1.616,297.79691,39.921371,TBD,N/A
K01681.04,CAND,21.9139549,3.271,584.4,10.39,303,2.01,3638,4.844,0.42,291.285,40.730049,TBD,N/A
K01840.02,CAND,9.3888216,4.154,192.7,20.91,963,202.91,5846,4.278,1.24,295.8287,43.425491,TBD,N/A
K06579.01,CAND,2.6528082,2.297,153.1,1.17,1280,633.57,5778,4.48,0.935,294.28778,40.692741,TBD,N/A
K06582.01,CAND,2.43135542,1.401,123.6,1.07,1422,965.4,6231,4.488,0.955,296.4718,40.681622,TBD,N/A
K06849.01,CAND,12.54474243,1.24,263.1,1.88,840,117.9,5767,4.316,1.159,296.39548,42.78014,TBD,N/A
