,ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName,StellarSunLuminosity,DistanceFromStarCoreinAU,StarClassification,MainSequence,PlanetEarthSize,StellarSunSize
12632,948.01,CAND,12.7009,3.208,2482.58,10.5402,1129.0,270.518,6092.9,3.65,1.92,75.531735,-22.711864,TBD,,2.3756800997044607,0.0035451610559340324,F,0,4904.956547275628,29.647787924975134
12633,952.01,CAND,1.79011,1.372,430.0,7.38823,1660.0,1262.31,7110.0,3.9,2.33,61.77946,-13.766859,TBD,,5.345949522905174,0.0024618947913957637,F,0,1689.3118549135602,52.98541892264207
12634,958.01,CAND,0.5875044,1.344,1680.0,14.3274,3698.0,31057.7,5745.1,4.14,1.43,83.215825,-19.575073,TBD,,1.3986754021614527,0.00025387146973102325,G,0,12319.43433670871,12.248889638367794
12635,963.01,CAND,11.1179704,4.435,6560.0,8.98777,1071.0,218.979,5814.9,4.4,1.07,119.1493,-0.772849,TBD,,1.0983564619108666,0.0026792330669061577,G,1,3041.196344201577,5.131448118842135
12636,969.01,CAND,1.8237371,1.347,1890.0,3.64998,1002.0,167.634,4249.1,4.43,0.82,115.136686,2.098588,TBD,,0.23998947213659194,0.0014313805617807197,K,1,203.68547659582003,2.309564877632662
12637,970.01,CAND,4.985636,3.736,970.0,3.35045,1252.0,408.008,5189.0,4.33,1.07,114.699006,-39.135518,TBD,,0.6964805460390443,0.0015630045051594423,K,0,157.54260881276335,5.131448118842135
12638,978.01,CAND,13.1659602,4.863,5110.0,11.3823,963.0,142.916,6368.0,4.18,1.52,120.204125,-2.010837,TBD,,2.244121345717273,0.00474048542977615,F,0,6177.015531007034,14.710226951490485
12639,981.01,CAND,1.60374,2.104,850.0,4.31765,1988.0,2595.61,6711.0,4.25,1.48,117.113226,-28.204828,TBD,,2.6952633168503133,0.0012190484170434455,F,0,337.1560152848349,13.579186575554882
12640,986.01,CAND,0.5476293,1.5170056,2575.65528,13.3288619,3555.457719,37766.18146,8274.5,4.17,1.64552,120.105441,10.343871,TBD,,6.925653129800649,0.0005122935692810982,A,1,9918.998260782482,18.663715462870023
12641,990.01,CAND,4.587373,4.5,3930.0,11.8995,2191.0,3135.87,8388.0,4.22,1.86,121.913554,-5.770077,TBD,,8.266794868652319,0.0019423595686430754,A,0,7057.887788220707,26.95426178201094
12642,991.01,CAND,2.4840296,2.1975502,1595.706738,13.1749594,2872.250695,16084.60405,9855.0,4.18,2.13222,114.346166,-11.151301,TBD,,18.057143814860122,0.0012675334094119585,A,0,9579.359366800938,40.605479872193314
12643,993.01,CAND,1.461071,1.0920876,984.1396377,5.4061796,2581.335267,10492.97556,8035.0,4.28,1.66797,113.960841,-15.499455,TBD,,6.2419788014306326,0.0009226816593983396,A,1,661.8506771293157,19.438077746514683
12644,K01146.01,CFRM,7.09712124,2.1059,369.5,0.74,425.0,7.73,3569.0,4.861,0.389,285.62854,44.31089,Terrestrial,Kepler-779 b,0.05666649134434405,0.0032390189471677455,M,1,1.6973983219443602,0.2465683978830293
12645,K01150.01,CFRM,0.677374687,1.8361,76.7,0.9,2099.0,4572.56,5718.0,4.395,1.037,281.76639,44.292549,Terrestrial,Kepler-780 b,0.9952814053634819,0.0005581273600688444,G,1,3.053628059289279,4.67116145367898
12646,K01151.02,CFRM,7.41084314,3.245,124.1,0.94,850.0,123.4,5528.0,4.499,0.853,283.00296,44.284229,Terrestrial,Kepler-271 c,0.7151739688367948,0.002879972516683675,G,0,3.479142123452299,2.599774638653601
12647,K00952.05,CFRM,0.742957911,0.6688,843.3,1.47,1026.0,262.51,3731.0,4.75,0.498,297.84241,46.574268,Terrestrial,Kepler-32 f,0.08664048380703726,0.0006872703092236492,K,0,13.30578842767868,0.5173406895220263
12648,K01165.02,CFRM,4.29263699,2.7,61.4,0.68,991.0,227.69,5357.0,4.498,0.863,291.06293,47.484798,Terrestrial,Kepler-783 b,0.6380987752370803,0.002002682260599161,G,0,1.3170896816713946,2.6922847824206433
12649,K00961.01,CFRM,1.213770423,0.5532,1821.0,0.78,525.0,18.03,3292.0,5.215,0.148,292.21906,44.61916,Terrestrial,Kepler-42 b,0.015605998160557173,0.001112981604436716,M,1,1.9877987692617913,0.013579186575554882
12650,K00961.02,CFRM,0.453287416,0.4445,1461.5,0.76,729.0,66.14,3292.0,5.215,0.148,292.21906,44.61916,Terrestrial,Kepler-42 c,0.015605998160557173,0.0005811038521125679,M,1,1.8387783689363106,0.013579186575554882
12651,K00961.03,CFRM,1.865114193,0.4279,1124.8,0.66,455.0,10.1,3292.0,5.215,0.148,292.21906,44.61916,Terrestrial,Kepler-42 d,0.015605998160557173,0.001487048601089277,M,1,1.2042604287152683,0.013579186575554882
12652,K00157.06,CFRM,10.30401132,4.2246,316.1,1.84,849.0,122.98,5657.0,4.364,1.046,297.11511,41.909142,Terrestrial,Kepler-11 b,0.9617604843247395,0.003345463486991707,G,1,26.09408533587764,4.79384141335027
12653,K01618.01,CFRM,2.36436762,3.372,28.4,0.82,1752.0,2228.09,6250.0,4.184,1.543,296.04736,42.743011,Terrestrial,Kepler-910 b,2.1138614820029287,0.0011652308436205184,F,0,2.309564877632662,15.388149165135054
12654,K01646.01,CFRM,3.72020708,1.892,156.9,0.99,954.0,195.7,5017.0,4.516,0.797,298.46579,48.55941,Terrestrial,Kepler-1759 b,0.45334126834099203,0.0018207792222262632,K,1,4.0643789469140295,2.1206235180421507
12655,K01515.01,CFRM,1.937029968,1.4727,312.3,0.87,802.0,97.94,4042.0,4.761,0.49,283.13547,43.657051,Terrestrial,Kepler-303 b,0.11742804932269403,0.0013099235421271426,K,0,2.758330916222452,0.492806978802914
12656,K01692.02,CFRM,2.46106962,2.184,84.2,0.84,1195.0,483.09,5418.0,4.534,0.886,294.6741,42.075581,Terrestrial,Kepler-314 b,0.6854570609790143,0.001425004308354286,G,0,2.4827127095377124,2.9133306302584967
12657,K01702.01,CFRM,1.538180949,1.2635,841.0,1.0,602.0,30.85,3364.0,4.978,0.274,297.72925,42.86692,Terrestrial,Kepler-1650 b,0.03150395229471325,0.0012089128958368415,M,1,4.1887902047863905,0.08616686607558482
12658,K01961.01,CFRM,1.907810683,1.8707,120.5,0.91,1268.0,609.28,5435.0,4.578,0.824,287.57117,42.813919,Terrestrial,Kepler-1027 b,0.6455292642244209,0.001231372868699972,G,0,3.1565508234110853,2.343528526902076
12659,K02036.02,CFRM,5.79529495,2.272,334.3,1.05,534.0,19.23,3757.0,4.718,0.539,296.85663,41.758179,Terrestrial,Kepler-353 b,0.09641488226851005,0.002678690080716979,K,0,4.849048260815846,0.6559260887866787
12660,K01977.02,CFRM,7.41556471,1.973,150.4,0.79,622.0,35.37,4500.0,4.656,0.646,295.22879,45.97102,Terrestrial,Kepler-345 b,0.2378335415428093,0.003102123584355081,K,0,2.0652369337776775,1.1292397658230118
