ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetType,PlanetName,StarSunDiameter,PlanetEarthVolume,StarClassification,MainSequence,PlanetEarthTemperature,StarSunMass
K01944.01,CFRM,0.033358521724846,2.5014,499.3,Neptune-like,Kepler-1777 b,0.4662640250783699,6.380920264977032e-05,G,1,3.211764705882353,0.9857323293763599
K02023.01,CFRM,0.0372088034770705,3.784,621.9,Neptune-like,Kepler-1784 b,0.42522580564263324,5.9128218671601836e-05,G,1,2.83921568627451,0.8886574965235106
K02024.01,CFRM,0.12834407227926078,10.041,539.8,Neptune-like,Kepler-1060 b,0.43352076489028213,6.454830538316534e-05,G,1,1.8980392156862744,0.9430071640314717
K01808.01,CFRM,0.2441986959616701,4.0104,868.3,Neptune-like,Kepler-1769 b,0.5653669592476489,9.386604714116791e-05,F,1,1.8941176470588235,1.0620770683107563
K01809.01,CFRM,0.035849169363449694,2.2805,398.7,Neptune-like,Kepler-321 c,0.41736742319749215,5.420086711563502e-05,G,0,2.9490196078431374,1.024547928684657
K01878.01,CFRM,0.1117305227378508,3.158,436.1,Neptune-like,Kepler-1773 b,0.5675498432601881,8.47504467626293e-05,F,1,2.443137254901961,1.2345344107006149
K01879.01,CFRM,0.060466847337440115,2.1727,3157.4,Neptune-like,Kepler-993 b,0.24666589341692785,8.22867709846459e-05,K,0,1.380392156862745,0.6007771284369157
K01945.01,CFRM,0.17012620917180013,4.2938,886.3,Neptune-like,Kepler-1023 b,0.7076909968652038,0.00012663293498834727,K,0,2.0549019607843135,0.9422855360147855
K02025.01,CFRM,0.04886655263518138,5.8919,391.2,Neptune-like,Kepler-350 c,0.6395850156739812,8.105493309565418e-05,F,0,3.4823529411764707,1.1124788022975494
K01814.01,CFRM,0.04052224728268309,5.762,501.4,Neptune-like,Kepler-959 b,3.345488037617555,0.00042818685021351667,F,0,7.4980392156862745,2.651026971199281
K01815.01,CFRM,0.00856087937577002,1.1926,794.6,Neptune-like,Kepler-960 b,0.7635728275862069,0.0001261401998327506,K,0,5.454901960784314,0.9709483187159016
K01818.01,CFRM,0.04620741341546885,3.7917,818.4,Neptune-like,Kepler-961 b,0.38069497178683387,6.257736476077862e-05,G,0,2.5176470588235293,0.9029203992915404
