toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_dist,st_teff,st_logg,st_rad
1958.01,356747847,PC,11h41m20.55s,175.33562,-78d09m46.83s,-78.163008,-19.045,2.744,2459336.492,14.6482374,1.953,1040,18.1297,9.70045,491,496.731,4851.6,,5.42
1959.01,400323948,FP,11h04m20.63s,166.085979,-67d59m30.6s,-67.991833,7.241,14.358,2459336.01,3.2242808,4.3100077,868.6214414,8.5752112,527.6121099,1222.358054,407.801,4866.2,,2.62415
196.01,234519192,PC,00h58m12.41s,14.551689,-64d45m41.55s,-64.761541,-0.261,15.617,2458354.313,1.1630161,1.9358075,438.6131816,11.6644896,49142.20083,3797.374242,292.32,6495,3.32048,4.0595698
1960.01,318828309,PC,11h33m15.4s,173.314149,-60d04m33.58s,-60.075995,-7.938,4.624,2459308.733,5.3274196,5.9943824,840.6290042,9.8074207,4636.176643,2104.552399,400.718,6466.2,3.7,3.28105
1961.01,179319057,PC,14h06m22.42s,211.593423,-40d31m26.07s,-40.523909,-10.13,-7.316,2459352.079,6.7018963,1.874,950,5.02216,109.429,,240.34,6231.8,4.21,1.52
1962.01,141663464,FP,15h14m30.99s,228.629109,-43d23m13.51s,-43.387085,-6.688,-15.529,2458601.344,1.76447,2.749,2640,27.921,17578.1,3207,326.628,8049,3.3,5.08
1963.01,190271688,PC,14h45m22.44s,221.343502,-54d45m40.13s,-54.761146,-15.989,-1.662,2459341.019,12.6513671,4.277,25590,19.222,106.5752251,842,158.09,5394.6,3.77,1.19
1964.01,242083025,PC,13h26m34.13s,201.642206,-39d37m47.59s,-39.629886,-19.251,3.228,2459307.49,0.6468119,1.0521614,1095.805255,5.8965657,18605.75997,2978.73318,405.208,6308.3,4,1.71404
1965.01,295354126,FP,14h52m36.47s,223.151952,-61d34m07.24s,-61.568677,-6.158,-7.883,2459357.403,2.2778177,3.212,880,,95451.3,4896,401.097,9096.5,,
1966.01,242120884,PC,13h59m55.81s,209.982525,-43d19m38.34s,-43.327316,-39.221,1.386,2459334.473,0.6228752,0.8770066,535.9362021,5.4802232,35835.28831,3509.113984,254.169,6390.7,3.83,2.30849
1967.01,320079492,PC,11h39m22.81s,174.845028,-65d10m34.68s,-65.176299,-133.217,27.071,2459334.19,0.4262412,0.5485713,563.8362068,4.1242568,17153.59801,2918.828356,186.789,5343,4.1,1.4990799
1968.01,210445631,APC,14h08m46.38s,212.193247,-56d19m20.43s,-56.322341,-23.1,-9.1,2458601.957,3.97195,4.297,7670,13.8556,1605.22,,357.686,6535.3,4.2,1.55
1969.01,293708935,FP,14h49m20.06s,222.333572,-60d04m48.92s,-60.080256,-153.952,-86.496,2458597.351,2.6855915,2.0491187,488.2401788,3.5729712,1856.700481,1674.191806,106.955,5796,4.14,1.51715
197.01,441462736,CP,23h32m07.96s,353.033186,-21d48m04.32s,-21.801201,-96.775,51.24,2458357.014,14.278122,8.6972718,827.9264426,8.3566078,91.6541814,789.1468373,95.5483,5105,3.39182,2.90324
1970.01,162695785,PC,12h42m52.89s,190.720365,-53d41m17.89s,-53.688304,-18.984,-0.59,2459333.924,2.5599475,2.9280345,10927.85976,17.281594,2669.46151,1833.266766,421.946,6432.2,4.11,1.56996
1971.01,253132689,FP,12h59m04.75s,194.769773,-57d15m13.37s,-57.253713,-6.326,-20.071,2458601.487,3.21833,1.737,1220,5.92061,227.091,1081,247.145,5418,4.17,1.67
1972.01,267414551,PC,11h44m16.86s,176.070255,-59d54m42.67s,-59.911853,-9.942,34.037,2458571.462,4.7631,1.838,850,4.06445,184.105,1026,202.033,6105.1,4.12,1.48
1973.01,47617161,PC,14h41m42.43s,220.4268,-33d49m34.08s,-33.826133,,,2459335.075,3.9192439,2.264183,5066.883765,,422.1041638,1156.044784,204.984,5149,4.35,
1974.01,295562522,APC,11h25m30.81s,171.378387,-67d46m42.87s,-67.778575,-13.795,12.604,2459338.012,5.4371459,1.6708769,7708.766781,13.1868553,523.69822,1220.084821,238.426,5342,4.09,1.49272
1975.01,467281353,PC,11h12m18.26s,168.076087,-60d55m57.29s,-60.93258,-65.356,13.636,2459332.17,2.8319315,3.287,870,4.26927,929.769,1538,205.367,5408.7,,1.48
1976.01,329888006,APC,14h11m23.19s,212.846611,-50d04m11.92s,-50.069977,-21.2,-5.9,2459360.021,7.6943096,8.903,7400,,925.441,1536,201.2072,4956.8,,
1977.01,383531859,FP,14h24m35.45s,216.147711,-60d23m00.96s,-60.383601,-2.1,-2.2,2459352.186,17.0614756,3.384,2730,17.1048027,425.8669904,1158.612592,437.902,9184.7,4.09,2.14183
1978.01,458856474,FP,10h44m33.72s,161.140515,-59d44m15.39s,-59.737608,-7.582,2.92,2459286.205,6.0783344,4.8904528,16168.28891,16.9877965,235.1310083,998.7280008,2503.46,8719.5,4.08,1
1979.01,458857720,FP,10h44m11.21s,161.046711,-59d55m30.61s,-59.92517,-18.128,4.679,2458571.797,1.30924,2.535,3370,,52079.9,4208,395.582,8832.5,4.26,
198.01,12421862,PC,00h09m05.16s,2.271509,-27d07m18.28s,-27.121745,692.255,90.142,2458356.367,10.2150168,1.9683066,994.1089045,1.4777754,7.4195034,420.9334696,23.7262,3763,4.83739,0.447336
1980.01,127793615,FP,14h33m04.82s,218.270079,-43d17m54.64s,-43.298512,-28.197,-25.698,2458604.912,9.27898,6.514,9020,15.0807,1058.72,1589,343.388,5898.8,4.08,1.45
1981.01,378613125,PC,10h22m21.75s,155.59062,-63d39m16.63s,-63.65462,-13.642,4.457,2458572.358,2.47707,2.611,530,4.99607,7992.76,2634,540.252,8749.3,,2.14
1982.01,437329044,PC,13h50m20.36s,207.584824,-23d23m00.16s,-23.383379,-29.626,-6.568,2458602.58,8.58635,5.348,5260,10.6665,792.511,1478,266.509,6617,4.21,1.41
1983.01,89535068,FP,08h29m07.45s,127.281049,-57d11m39.15s,-57.194209,-16.422,-22.274,2459288.092,6.1110945,4.2566318,1098.152672,5.873208,249.203041,1013.346762,162.148,5725,4.54,1.07235
1984.01,162246865,PC,11h15m29.17s,168.871533,-44d25m44.35s,-44.428987,-12.725,-24.449,2459331.916,0.5646185,1.311,340,2.9966,6886.86,2537,252.81,6237,4.24,1.3
1985.01,469212332,APC,09h53m33.73s,148.390562,-58d22m33.88s,-58.376077,1.58,-0.841,2459288.767,30.7868562,3.466,8750,23.8125,91.5045,861,332.321,6101.8,,2.05
1986.01,468997317,APC,09h36m05.7s,144.023758,-51d44m40.73s,-51.744648,-15.554,4.79,2459256.975,7.5043829,4.8967771,12479.71768,,177.5290293,930.973018,,8613.8,,
1987.01,349088467,APC,12h21m19.65s,185.331855,-14d03m44.56s,-14.062379,-28.097,-35.888,2459283.075,2.5862088,1.8133921,2335.666389,13.8324306,3942.213147,2020.946306,273.491,5635.4,3.71,2.32814
1988.01,161156159,FP,12h40m31.8s,190.132487,-48d44m27.25s,-48.740903,4.353,0.291,2459309.01,2.2812057,4.7477469,1701.374796,9.8589975,3603.613221,1976.078953,299.378,5368,,2.1538601
1989.01,324395151,FP,11h47m27.92s,176.866343,-64d52m58.71s,-64.882975,-6.47,0.078,2459309.576,3.4551479,5.7444704,5191.726001,,499.3447666,1205.646182,1541.16,8046.5,4.12,
199.01,309792357,PC,05h20m25.41s,80.105873,-59d53m43.56s,-59.895433,45.702,58.455,2458361.011,104.87075,6.434,12050,10.1289,2.50012,350,102.27,5350,4.52347,0.88
